game_date,player_name,shirt_no,role
2023-08-08,Joe Murphy,13,starter
2023-08-08,Tom Davies,5,starter
2023-08-08,Josef Yarney,21,starter
2023-08-08,Jake Leake,3,starter
2023-08-08,Reece McAlear,23,starter
2023-08-08,Kieron Morris,7,starter
2023-08-08,Paul Lewis,22,starter
2023-08-08,Regan Hendry,8,starter
2023-08-08,Samuel Taylor,20,starter
2023-08-08,Kristian Dennis,14,starter
2023-08-08,Luke Norris,9,starter
2023-08-08,Luke McGee,1,sub
2023-08-08,Lee O'Connor,2,sub
2023-08-08,Jordan Turnbull,6,sub
2023-08-08,Kane Hemmings,10,sub
2023-08-08,Josh Hawkes,11,sub
2023-08-08,Charlie Jolley,12,sub
2023-08-08,Chris Merrie,16,sub
2023-08-08,Connor Jennings,18,sub
2023-08-08,Harvey Saunders,19,sub
